Rank,State,Code,Population
Rank,State,FIPS Code,Population
1,California,06000,38965193
2,Texas,48000,30503301
3,Florida,12000,22610726
4,New York,36000,19571216
5,Pennsylvania,42000,12961683
6,Illinois,17000,12549689
7,Ohio,39000,11785935
8,Georgia,13000,11029227
9,North Carolina,37000,10835491
10,Michigan,26000,10037261
11,New Jersey,34000,9290841
12,Virginia,51000,8715698
13,Washington,53000,7812880
14,Arizona,04000,7431344
15,Tennessee,47000,7126489
16,Massachusetts,25000,7001399
17,Indiana,18000,6862199
18,Missouri,29000,6196156
19,Maryland,24000,6180253
20,Wisconsin,55000,5910955
21,Colorado,08000,5877610
22,Minnesota,27000,5737915
23,South Carolina,45000,5373555
24,Alabama,01000,5108468
25,Louisiana,22000,4573749
26,Kentucky,21000,4526154
27,Oregon,41000,4233358
28,Oklahoma,40000,4053824
29,Connecticut,09000,3617176
30,Utah,49000,3417734
31,Iowa,19000,3207004
32,Nevada,32000,3194176
33,Arkansas,05000,3067732
34,Kansas,20000,2940546
35,Mississippi,28000,2939690
36,New Mexico,35000,2114371
37,Nebraska,31000,1978379
38,Idaho,16000,1964726
39,West Virginia,54000,1770071
40,Hawaii,15000,1435138
41,New Hampshire,33000,1402054
42,Maine,23000,1395722
43,Montana,30000,1132812
44,Rhode Island,44000,1095962
45,Delaware,10000,1031890
46,South Dakota,46000,919318
47,North Dakota,38000,783926
48,Alaska,02000,733406
49,District of Columbia,11000,678972
50,Vermont,50000,647464
51,Wyoming,56000,584057
